GID_1,GID_2,POP_ZONE,YEAR,LLPC,LLPC_PCT_CHANGE,LOG_LUMINOSITY_SUM,LUMINOSITY_PCT_CHANGE,AVG_TEMP_PCT_CHANGE,MAX_TEMP_PCT_CHANGE,APPC,APPC_PCT_CHANGE,POPULATION,POP_PCT_CHANGE,ECON_SCORE,ENVR_SCORE,NAME_1,REGION_NAME,NAME_2,COLOR
VNM.3_1,VNM.3.4_1,urban,2016,6.019282662175063e-05,7.783629133744596,8.078033105090642,10.83722224460908,-1.2039411369222708,-3.7429903063588177,0.0003634355325212918,-1.6502132571534878,134202.587890625,-0.4542885065952462,54.003123619612545,62.851180956005166,Bac Giang,Northern Midlands and Mountain Areas,Luc Nam,#F05223
VNM.3_1,VNM.3.5_1,rural,2015,3.676581339702841e-05,-10.591314654447215,4.273055821843289,-51.99796110935123,3.2873506101448235,4.225003128766502,0.0014492360481213307,-3.1545134947636666,116223.6171875,-4.548494661394253,29.46527458519664,33.71575610077094,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,rural,2016,3.306752955278278e-05,-10.059029034142187,3.8053523993972265,-37.3560716059449,-1.22440598399296,-4.404451387862163,0.0015328697974866467,5.7708852518354,115078.21875,-0.9855126395284741,34.86861361755385,69.36439870879782,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,rural,2019,4.90387750514664e-05,48.298877220900714,5.712273283330601,56.77285443288908,4.2531412421553005,1.6989037317501676,0.0012883186240936209,-15.953812502144771,116484.828125,1.222307218758556,65.37822651399577,45.76317102671936,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,rural,2018,4.5807587598435766e-05,-6.589046014382472,5.262645498628998,29.941130859312338,-0.6024666163622627,-5.634799366558552,0.0013381591027506582,3.8686453587599035,114885.890625,-1.3726573028756794,49.392048429838624,88.7895459341444,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,rural,2017,4.384526636967984e-05,-4.283834472922421,5.000734176268048,230.4819233233197,-0.9519504315759875,7.668022393995466,0.0013595119459077429,1.5956879203072871,114054.140625,-0.7239792419026614,62.66999964371332,38.21262217828559,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,total,2019,3.834733804995584e-05,,7.992449085190512,89.66755077055737,4.175297792868404,1.2597087087909298,0.0009113375299195903,,208422.526611328,,,,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,total,2016,3.490956360142661e-05,-8.964832041407334,7.2807947587695985,5.623155980212879,-1.326092073759222,-3.791142174702433,0.0010663288230901035,17.007013107886436,208561.609130859,0.06673103996592822,53.48745136408109,85.49705540988116,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,total,2018,3.52516105578078e-05,0.979808743204158,7.3523464643750565,-4.400215582213796,-0.5450490622374127,-5.0580479827898595,0.0009320039507523021,-12.596946591816083,208567.675292969,0.0029085708224574347,46.870206511268904,53.458189890136936,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,total,2017,3.5459914467021814e-05,1.2511020923134053,7.397346085352412,12.361518031479623,-0.9036044678287336,7.116907079553836,0.0009375602052430351,-14.948247448143759,208611.50390625,0.16877506240200457,50.25279584483646,30.259653021153017,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,total,2015,3.4675004124698056e-05,-2.213514482821821,7.226087317408247,-6.531354894622188,3.3094007491104582,3.1650439334722114,0.0010195174956188183,8.741549600490806,208394.706787109,-0.10392385610643595,50.6850957957729,45.83017553766865,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,urban,2018,7.64135802232703e-05,,7.221003484877521,-7.833919898095543,-0.517008024362875,-5.0580479827898595,0.0004301577801391769,,94498.955078125,,,,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,urban,2019,8.50472515006622e-05,11.29860850933233,7.884943803078883,94.24310714972188,4.137314008136506,1.2597087087909298,0.0004300702441688518,-0.020349735461433482,92712.505859375,-1.8904433570435697,51.1138927706228,68.7297783366103,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,urban,2016,7.689861212752718e-05,-9.581308307266777,7.250067987091069,7.98321104221591,-1.3757125170145823,-3.791142174702433,0.00048784419755481346,13.433608618428106,94280.869140625,1.6916415608794644,51.7952924843819,83.2928597389463,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,urban,2015,7.715069598571442e-05,0.3278132741449058,7.173262411351875,-1.3881293637359682,3.3201641216626943,3.1650439334722114,0.0004735101661131892,-2.938239608766424,92977.287109375,-1.3826580547381617,32.94598672525474,40.3790604750984,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.5_1,urban,2017,7.658054246388939e-05,-0.7390128041496857,7.302581502766219,5.391680637946639,-0.8799765699202933,7.116907079553836,0.0004249979274607739,-10.245236982054317,95358.1845703125,2.560730190091154,49.034318329056205,28.015199457867325,Bac Giang,Northern Midlands and Mountain Areas,Luc Ngan,#F05223
VNM.3_1,VNM.3.6_1,rural,2016,0.00012605007622717193,,7.166711996868072,-1.1389751432471673,-1.567706064724328,-4.626027612605776,0.0030644962938179,,56856.0703125,,,,Bac Giang,Northern Midlands and Mountain Areas,Son Dong,#F05223
